Folder Name,FD001 Score,FD001 RMSE,FD002 Score,FD002 RMSE,FD003 Score,FD003 RMSE,FD004 Score,FD004 RMSE
CNN,309.6258,14.6778,1421.434,17.2655,297.5936,13.4921,2549.7141,21.1995
CNN_feature_tsfresh_20,387.0238,15.9311,1716.8512,19.7234,457.8252,14.9884,2798.4451,21.6857
CNN_feature_tsfresh_50,430.8904,16.7754,2862.6304,22.076,600.3355,15.5108,97227.1875,36.5576
Hybrid_default,232.3406,12.9594,1114.2377,16.5783,245.5828,13.4854,1628.7882,18.5454
Hybrid_tsfresh_20,219.4277,12.5881,3127.4939,19.4313,234.161,11.5401,2230.3828,19.4235
Hybrid_tsfresh_50,230.1417,12.7206,2090.793,19.9565,225.5471,12.7401,12671.6807,34.306
LSTM,215.7779,12.2289,1065.9554,15.8189,192.7412,11.0907,1487.3347,18.2859
LSTM_feature_tsfresh_20,276.4388,14.0609,2141.0479,20.929,258.1259,12.47,7292.2158,24.9562
LSTM_feature_tsfresh_50,351.8842,15.1398,6427.1333,25.6758,1094.6472,16.0288,54365.75,37.773
